feature,count,mean,std,min,25%,50%,75%,max,correlation_with_fail
rna_density_5p,2646.0,0.8101731832927968,0.1296814358383098,0.0,0.8285714285714286,0.8285714285714286,0.8604651162790697,1.0,0.008896163312417589
token_rA_count,2646.0,27.165532879818596,13.934650295765232,0.0,16.0,28.0,31.0,142.0,-0.008602603188430149
max_gc_window_10,2646.0,0.7511337868480725,0.12509595355269246,0.1,0.7,0.7,0.8,1.0,-0.008477497011009777
slash_mod_density_middle,2646.0,0.001618943620243635,0.015471868404388916,0.0,0.0,0.0,0.0,0.5217391304347826,0.008421991060699656
base_C_count,2646.0,20.95691609977324,7.704197869660816,0.0,16.0,19.0,25.75,50.0,-0.007552054512173897
modified_token_count_5p,2646.0,6.488284202569917,3.620104376101268,0.0,6.0,6.0,6.0,30.0,0.007070440876889488
base_G_fraction,2646.0,0.24928958426887535,0.044186331102367186,0.025,0.23,0.25,0.27102803738317754,0.37662337662337664,-0.006680053672790747
slash_mod_first_fraction,2646.0,-0.8182172969979895,0.48031146526984686,-1.0,-1.0,-1.0,-1.0,1.0,-0.00656376197101497
modified_token_first_position,2646.0,-0.02872260015117158,1.8279304444610898,-1.0,0.0,0.0,0.0,93.0,-0.006448624069374486
star_span_fraction,2646.0,0.8561550535368873,0.32708452079801476,0.0,0.9809523809523809,0.9809523809523809,0.9830508474576272,0.98989898989899,-0.006013870174754474
base_A_fraction,2646.0,0.28777687908647714,0.10827050717411218,0.1206896551724138,0.2692307692307692,0.3,0.3119816513761468,0.95,0.005904988263060482
slash_mod_density_3p,2646.0,0.00594234220273357,0.026109052401327895,0.0,0.0,0.0,0.0,0.2558139534883721,-0.00529765122606674
methyl_span_fraction,2646.0,0.8650009726993207,0.33136820829391017,0.0,0.9809523809523809,0.9932885906040269,1.0,1.0,-0.005113464877920826
slash_mod_count,2646.0,0.3813303099017385,1.3588939288103805,0.0,0.0,0.0,0.0,18.0,0.0050284686099695
rna_span_fraction,2646.0,0.8879421984258471,0.11870202676942754,0.028169014084507043,0.8857142857142857,0.9423076923076923,0.9428571428571428,1.0,-0.004633942058262196
purine_fraction,2646.0,0.5370664633553525,0.07695116364244199,0.3333333333333333,0.5076923076923077,0.54,0.56,1.0,0.004472564084026555
pyrimidine_fraction,2646.0,0.4629335366446475,0.07695116364244199,0.0,0.44,0.46,0.49230769230769234,0.6666666666666666,-0.0044725640840265115
modified_token_mean_position,2646.0,54.17685041180913,19.073865085702806,-1.0,52.0,52.5,66.66037735849056,104.16666666666667,-0.004422303743574707
methyl_last_fraction,2646.0,0.7471602578623734,0.6523631247894095,-1.0,0.9809523809523809,0.9933992680376438,1.0,1.0,0.004158731914224002
star_last_fraction,2646.0,0.7451928958955656,0.6537480966977723,-1.0,0.9904761904761905,0.9904761904761905,0.9915254237288136,0.9949494949494949,0.003930200984894823
longest_rC_run,2646.0,2.568027210884354,1.0411668425215441,0.0,2.0,2.0,3.0,10.0,-0.003788297817896012
token_rA_fraction,2646.0,0.2459604393339365,0.11502217358187858,0.0,0.16981132075471697,0.2641509433962264,0.2839854934147738,0.95,-0.0036766134290230645
longest_star_run,2646.0,0.8771730914588057,0.3283004610297245,0.0,1.0,1.0,1.0,1.0,0.0036562662146195765
lna_density_3p,2646.0,7.873519778281682e-06,0.0004050082246665307,0.0,0.0,0.0,0.0,0.020833333333333332,-0.003563825284946746
lna_count_3p,2646.0,0.0003779289493575208,0.01944039478399348,0.0,0.0,0.0,0.0,1.0,-0.0035638252849467225
has_slash_mod,2646.0,0.13416477702191987,0.340893690449067,0.0,0.0,0.0,0.0,1.0,-0.0033652246381715802
longest_rG_run,2646.0,2.6515495086923657,0.8740598291207281,1.0,2.0,2.0,3.0,6.0,0.0023576667177946957
methyl_density_5p,2646.0,0.1006047472213962,0.08227752470717514,0.0,0.06976744186046512,0.08571428571428572,0.08571428571428572,0.782608695652174,0.0022017710650107953
au_fraction,2646.0,0.5540391016869067,0.08504713088463163,0.2826086956521739,0.5101365424670216,0.57,0.59,0.9583333333333334,-0.0021684252392066374
gc_fraction,2646.0,0.44596089831309327,0.08504713088463164,0.041666666666666664,0.41,0.43,0.4898634575329785,0.717391304347826,0.002168425239206623
modified_token_density_5p,2646.0,0.1807970863017848,0.11621364919255867,0.0,0.13953488372093023,0.17142857142857143,0.17142857142857143,0.8695652173913043,-0.0019720382849639016
mod_density_5p,2646.0,0.1807970863017848,0.11621364919255867,0.0,0.13953488372093023,0.17142857142857143,0.17142857142857143,0.8695652173913043,-0.0019720382849639016
longest_gc_run,2646.0,2.941421012849584,1.0463583906388731,1.0,2.0,3.0,4.0,10.0,-0.0019602026487550188
methyl_last_position,2646.0,97.53590325018897,41.157340630620986,-1.0,103.0,103.0,125.0,198.0,0.0011348904446772162
terminal_gc_count,2646.0,0.7928949357520786,0.6007262223761638,0.0,0.0,1.0,1.0,2.0,-0.0006705272747276524
star_last_position,2646.0,97.42894935752079,40.903058165483515,-1.0,104.0,104.0,124.0,197.0,0.00016209405582432996
base_A_count,2646.0,30.055555555555557,13.315579705215553,5.0,26.25,30.0,33.0,142.0,-0.00012451117325992494
unknown_char_count,2646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown_char_fraction,2646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terminal_star_count,2646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longest_lU_run,2646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_lU_fraction,2646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_lU_count,2646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lna_count_5p,2646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lna_density_5p,2646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
